Title;Views;views_numeric;Date;Duration;hours;minutes;seconds;hours;minutes;seconds
2022 UZH Innovathon: Building a human-centered Future of Work ;658;658;2 years;2 minutes, 44 seconds;0;2 minutes;44 seconds;0;2;44
Lehrpreis 2022: Christoph Riedweg ;657;657;2 years;3 minutes, 34 seconds;0;3 minutes;34 seconds;0;3;34
Kreativität in der Arbeit ;656;656;9 years;5 minutes, 10 seconds;0;5 minutes;10 seconds;0;5;10
Abschlussfeier der Philosophischen Fakultät 2020 ;648;648;4 years;1 minute, 32 seconds;0;1 minute;32 seconds;0;1;32
Nachhaltigkeitsexperte Kai Niebert (UZH) zur Pariser Klimakonferenz ;636;636;9 years;4 minutes, 43 seconds;0;4 minutes;43 seconds;0;4;43
Aufgefallen: Kripochefin Christiane Lentjes Meili ;634;634;5 years;2 minutes, 52 seconds;0;2 minutes;52 seconds;0;2;52
UZH PhD students apply for the Hult Prize ;631;631;10 years;5 minutes, 22 seconds;0;5 minutes;22 seconds;0;5;22
Double Degree Master of Law with Hong Kong ;626;626;7 years;4 minutes, 36 seconds;0;4 minutes;36 seconds;0;4;36
Wieso sind manche Affenarten egoistisch, andere selbstlos? ;620;620;8 years;3 minutes, 34 seconds;0;3 minutes;34 seconds;0;3;34
"University Research Priority Program ""Human Reproduction Reloaded"": An Interview with Andrea Büchler ";617;617;2 years;3 minutes, 50 seconds;0;3 minutes;50 seconds;0;3;50
Innovathon 2021 ;617;617;3 years;4 minutes, 50 seconds;0;4 minutes;50 seconds;0;4;50
International Sports Law | UZH International Summer School 2023 | Trailer ;608;608;2 years;48 seconds;0;FALSE;0;0;0;48
Shaping the Future of Teaching Together | University of Zurich ;607;607;1 year;1 minute, 26 seconds;0;1 minute;26 seconds;0;1;26
UZI5 – Die fünfte Bauetappe des neue Chemiegebäude am Campus Irchel (Trailer) ;607;607;7 years;1 minute, 1 second;0;1 minute;1 second;0;1;1
Zukunftstag 2011 an der Universität Zürich ;602;602;13 years;6 minutes, 49 seconds;0;6 minutes;49 seconds;0;6;49
Albert Einstein's Annus Mirabilis | UZH Spotlight ;600;600;2 years;46 seconds;0;FALSE;0;0;0;46
"University Research Priority Program ""Equality of Opportunity"": An Interview with Silja Häusermann ";599;599;2 years;4 minutes, 12 seconds;0;4 minutes;12 seconds;0;4;12
Welcome to UZH 2014 ;596;596;10 years;1 minute, 24 seconds;0;1 minute;24 seconds;0;1;24
Learn to shape the world by innovating ;580;580;5 years;1 minute, 46 seconds;0;1 minute;46 seconds;0;1;46
Chemietag 2018 ;575;575;7 years;2 minutes, 52 seconds;0;2 minutes;52 seconds;0;2;52
Ready for take-off | Herbstsemester 2021 | Fall Semester 2021 ;563;563;3 years;1 minute, 50 seconds;0;1 minute;50 seconds;0;1;50
